g,r,o,u,p,S,i,z,e
p,g,r,o,u,p
p,o,u,t
n,o,d,e,S,i,z,e
l,i,n,k,S,i,z,e
e,d,g,e,C,r,o,s,s
m,e,a,n,A,s,p,e,c,t
m,e,a,n,S,p,a,c,e,W,a,s,t,e,d
STGIB,14,18583,1.5070112478809794,1.9999999999999967
STGIB,11,15165,1.3984730834315615,1.9999999999999967
STGIB,12,11390,1.7040406178479253,1.9999999999999851
STGIB,12,12726,1.4030939375728801,2.0
STGIB,13,9424,1.5612613144982832,1.9999999999999964
STGIB,6,6702,2.040988045133413,1.9999999999999967
STGIB,13,22396,1.3945429248804009,1.9999999999999967
STGIB,16,30068,1.5261721513682938,1.9999999999999882
STGIB,14,15817,1.4901841643711993,1.9999999999999971
STGIB,15,10928,1.4115366770073061,1.999999999999994
STGIB,15,25488,1.3424604629578956,1.9999999999999991
STGIB,13,12290,1.4890323185856047,1.9999999999999996
STGIB,8,6770,2.4999802319348188,1.9999999999999967
STGIB,9,4990,1.4509236907534944,1.9999999999999996
STGIB,10,9350,1.7264484466066043,2.0
STGIB,17,38138,1.5530158546284785,1.9999999999999991
STGIB,15,26874,1.4379481726081624,1.9999999999999996
STGIB,8,5421,1.7579048325004616,2.0
STGIB,7,2974,1.4408449372485737,1.9999999999999991
STGIB,7,7314,2.0203103304776544,2.0
STGIB,10,36958,1.662885738614528,2.0
STGIB,6,879,1.7844363614008016,2.0
STGIB,8,8181,1.5311080378265751,1.999999999999996
STGIB,17,82772,1.3537196374101643,1.999999999999999
STGIB,9,8323,1.343976168216534,1.9999999999999971
STGIB,7,6469,1.6317702982133089,1.9999999999999984
STGIB,9,11526,1.6856161338273474,1.9999999999999838
STGIB,12,12385,1.6514472121124264,1.9999999999999971
STGIB,14,44043,1.7420055807635892,2.0
STGIB,12,16881,1.7359477636719374,1.999999999999992
STGIB,9,10570,2.248218371807873,1.9999999999999996
STGIB,16,59373,1.7335477609544228,1.999999999999972
STGIB,14,26702,1.4475264161326167,1.9999999999999991
STGIB,16,22843,1.49126081110538,1.9999999999999984
STGIB,10,14420,1.3650950685996155,1.9999999999999976
STGIB,13,13734,1.3862978948331872,2.0
STGIB,9,1864,1.5099381901805764,1.9999999999999967
STGIB,7,8270,3.072370291518915,1.9999999999999996
STGIB,15,8835,1.5978725622400918,1.9999999999999858
STGIB,12,5875,1.6425253101521033,1.999999999999998
TRGIB,15,8136,1.3810182879651711,1.9999999999999996
