0.0,0.0,0.0,1.0,0.0,0.0625,0.0625
0.0,0.0625,0.0625,0.0625,0.5,0.6875
0.0,0.125,0.5,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0625,0.3125
0.0,0.0
0.0
